20	17	E	-1.3081369295399807E7	200
emissionprobs	6	10	H3K4me1	1	0.010548941965612147
emissionprobs	6	11	H3K4me2	0	0.9987043964425409
emissionprobs	6	11	H3K4me2	1	0.0012956035574590667
emissionprobs	6	12	H3K4me3	0	0.9939731418395731
emissionprobs	6	12	H3K4me3	1	0.006026858160427002
emissionprobs	6	13	H3K79me2	0	0.9951671881799927
emissionprobs	6	13	H3K79me2	1	0.004832811820007276
emissionprobs	6	14	H3K9ac	0	0.9980268858688806
emissionprobs	6	14	H3K9ac	1	0.0019731141311194315
emissionprobs	6	15	H3K9me3	0	0.4464932954881427
emissionprobs	6	15	H3K9me3	1	0.5535067045118572
emissionprobs	6	16	H4K20me3	0	0.821562697654202
emissionprobs	6	16	H4K20me3	1	0.178437302345798
emissionprobs	7	0	5fC	0	0.9968864968275962
emissionprobs	7	0	5fC	1	0.0031135031724037767
emissionprobs	7	1	5hmC	0	0.9988487747515928
emissionprobs	7	1	5hmC	1	0.001151225248407219
emissionprobs	7	2	5mC	0	0.998463662925271
emissionprobs	7	2	5mC	1	0.0015363370747290307
emissionprobs	7	3	CTCF	0	0.9993997251777056
emissionprobs	7	3	CTCF	1	6.002748222944653E-4
